game_num,country1,qa,country2,qb,grp,Ea,Eb
1,Russia,17,Saudi Arabia,14,A,0.548387097,0.451612903
2,Egypt,39,Uruguay,275,A,0.124203822,0.875796178
3,Morocco,50,Iran,66,B,0.431034483,0.568965517
4,Portugal,1841,Spain,804,B,0.696030246,0.303969754
5,France,822,Australia,56,C,0.936218679,0.063781321
6,Argentina,1365,Iceland,211,D,0.866116751,0.133883249
7,Peru,582,Denmark,432,C,0.573964497,0.426035503
8,Croatia,274,Nigeria,39,D,0.875399361,0.124600639
9,Costa Rica,140,Serbia,68,E,0.673076923,0.326923077
10,Germany,7244,Mexico,331,F,0.95630363,0.04369637
11,Brazil,2884,Switzerland,886,E,0.764986737,0.235013263
12,Sweden,167,Korea Republic,20,F,0.893048128,0.106951872
13,Belgium,2317,Panama,27,G,0.988481229,0.011518771
14,Tunisia,339,England,398,G,0.459972863,0.540027137
15,Colombia,297,Japan,21,H,0.933962264,0.066037736
16,Poland,661,Senegal,115,H,0.851804124,0.148195876
17,Russia,17,Egypt,39,A,0.303571429,0.696428571
18,Portugal,1841,Morocco,50,B,0.973558964,0.026441036
19,Uruguay,275,Saudi Arabia,14,A,0.951557093,0.048442907
20,Iran,66,Spain,804,B,0.075862069,0.924137931
21,Denmark,432,Australia,56,C,0.885245902,0.114754098
22,France,822,Peru,582,C,0.585470085,0.414529915
23,Argentina,1365,Croatia,274,D,0.832824893,0.167175107
24,Brazil,2884,Costa Rica,140,E,0.953703704,0.046296296
25,Nigeria,39,Iceland,211,D,0.156,0.844
26,Serbia,68,Switzerland,886,E,0.071278826,0.928721174
27,Belgium,2317,Tunisia,339,G,0.872364458,0.127635542
28,Korea Republic,20,Mexico,331,F,0.056980057,0.943019943
29,Germany,7244,Sweden,167,F,0.977465929,0.022534071
30,England,398,Panama,27,G,0.936470588,0.063529412
31,Japan,21,Senegal,115,H,0.154411765,0.845588235
32,Poland,661,Colombia,297,H,0.689979123,0.310020877
33,Uruguay,275,Russia,17,A,0.941780822,0.058219178
34,Saudi Arabia,14,Egypt,39,A,0.264150943,0.735849057
35,Iran,66,Portugal,1841,B,0.034609334,0.965390666
36,Spain,804,Morocco,50,B,0.941451991,0.058548009
37,Denmark,432,France,822,C,0.344497608,0.655502392
38,Australia,56,Peru,582,C,0.087774295,0.912225705
39,Nigeria,39,Argentina,1365,D,0.027777778,0.972222222
40,Iceland,211,Croatia,274,D,0.435051546,0.564948454
41,Mexico,331,Sweden,167,F,0.664658635,0.335341365
42,Korea Republic,20,Germany,7244,F,0.002753304,0.997246696
43,Serbia,68,Brazil,2884,E,0.02303523,0.97696477
44,Switzerland,886,Costa Rica,140,E,0.863547758,0.136452242
45,Japan,21,Poland,661,H,0.030791789,0.969208211
46,Senegal,115,Colombia,297,H,0.279126214,0.720873786
47,Panama,27,Tunisia,339,G,0.073770492,0.926229508
48,England,398,Belgium,2317,G,0.146593002,0.853406998
