Country,2014 WORLD CUP,,Country,2010 WORLD CUP
Spain,23,,Spain,1
Germany,1,,Netherlands,2
Brazil,4,,Germany,3
Portugal,18,,Uruguay,4
Argentina,2,,Argentina,5
Switzerland,11,,Brazil,6
Uruguay,12,,Ghana,7
Colombia,5,,Paraguay,8
Italy,22,,Japan,9
England,26,,Chile,10
Belgium,6,,Portugal,11
Greece,13,,USA,12
USA,15,,England,13
Chile,9,,Mexico,14
Netherlands,3,,South Korea,15
France,7,,Slovakia,16
Croatia,19,,Ivory Coast,17
Russia,24,,Slovenia,18
Mexico,10,,Switzerland,19
Bosnia,20,,South Africa,20
Algeria,14,,Australia,21
Ivory Coast,21,,New Zeland,22
Ecuador,17,,Serbia,23
Costa Rica,8,,Denmark,24
Honduras,31,,Greece,25
Ghana,25,,Italy,26
Iran,28,,Nigeria,27
Nigeria,16,,Algeria,28
Japan,29,,France,29
Cameroon,32,,Honduras,30
South Korea,27,,Cameroon,31
Australia,30,,North Korea,32
